"Nombre de módulo","Autor","Sitio web","Última versión"
"Company Country","Vauxoo, Odoo Community Association (OCA)","https://github.com/OCA/server-tools/tree/13.0/company_country","13.0.2.0.0"
"Mail Internal","ADHOC SA","http://www.adhoc.com/ar","13.0.1.0.0"
"Tax Cash Basis Group Base Lines","Vauxoo, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.0.0.1"
"CRM","Odoo S.A.","https://www.odoo.com/page/crm","13.0.1.0"
"Proxy hardware","Odoo S.A.","https://www.odoo.com/page/iot","13.0.1.0"
"Driver del hardware ESC/POS","Odoo S.A.","https://www.odoo.com/page/point-of-sale-hardware","13.0.1.0"
"Página de caja de IoT ","Odoo S.A.","https://www.odoo.com/page/point-of-sale-hardware","13.0.1.0"
"Proxy hardware","Odoo S.A.","https://www.odoo.com/page/point-of-sale-hardware","13.0.1.0"
"POS Adyen","Odoo S.A.",,"13.0.1.0"
"Descuentos para TPV","Odoo S.A.",,"13.0.1.0"
"pos_epson_printer","Odoo S.A.",,"13.0.1.0"
"pos_epson_printer_restaurant","Odoo S.A.",,"13.0.1.0"
"Servicios de pago Vantiv","Odoo S.A.",,"13.0.1.0"
"Reimpresion del ticket del punto de venta","Odoo S.A.",,"13.0.1.0"
"Restaurante","Odoo S.A.","https://www.odoo.com/page/point-of-sale-restaurant","13.0.1.0"
"ventas_pos","Odoo S.A.",,"13.0.1.0"
"POS Six","Odoo S.A.",,"13.0.1.0"
"Sitio web","Odoo S.A.","https://www.odoo.com/page/website-builder","13.0.1.0"
"Proyecto","Odoo S.A.","https://www.odoo.com/page/project-management","13.0.1.1"
"Partes de horas","Odoo S.A.","https://www.odoo.com/page/timesheet-mobile-app?utm_source=db&utm_medium=module","13.0.1.0"
"Inventario","Odoo S.A.","https://www.odoo.com/page/warehouse","13.0.1.1"
"Interests Management","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Commission Invoices","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Account Invoice Line Number","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Account Invoice Partial","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Journal Security","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
